question,sql,db_id,source
show all artists,SELECT * FROM Artist,chinook_1,chinook_manual
list all artists,SELECT * FROM Artist,chinook_1,chinook_manual
display all artists,SELECT * FROM Artist,chinook_1,chinook_manual
get all artists,SELECT * FROM Artist,chinook_1,chinook_manual
show artist names,SELECT Name FROM Artist,chinook_1,chinook_manual
list artist names,SELECT Name FROM Artist,chinook_1,chinook_manual
show all albums,SELECT * FROM Album,chinook_1,chinook_manual
list all albums,SELECT * FROM Album,chinook_1,chinook_manual
show album titles,SELECT Title FROM Album,chinook_1,chinook_manual
list album titles,SELECT Title FROM Album,chinook_1,chinook_manual
show all tracks,SELECT * FROM Track,chinook_1,chinook_manual
list all tracks,SELECT * FROM Track,chinook_1,chinook_manual
show track names,SELECT Name FROM Track,chinook_1,chinook_manual
list track names,SELECT Name FROM Track,chinook_1,chinook_manual
show all customers,SELECT * FROM Customer,chinook_1,chinook_manual
list all customers,SELECT * FROM Customer,chinook_1,chinook_manual
show customer names,"SELECT FirstName, LastName FROM Customer",chinook_1,chinook_manual
show all employees,SELECT * FROM Employee,chinook_1,chinook_manual
list all employees,SELECT * FROM Employee,chinook_1,chinook_manual
show employee names,"SELECT FirstName, LastName FROM Employee",chinook_1,chinook_manual
show all genres,SELECT * FROM Genre,chinook_1,chinook_manual
list all genres,SELECT * FROM Genre,chinook_1,chinook_manual
show genre names,SELECT Name FROM Genre,chinook_1,chinook_manual
show all invoices,SELECT * FROM Invoice,chinook_1,chinook_manual
list all invoices,SELECT * FROM Invoice,chinook_1,chinook_manual
show all playlists,SELECT * FROM Playlist,chinook_1,chinook_manual
list all playlists,SELECT * FROM Playlist,chinook_1,chinook_manual
show playlist names,SELECT Name FROM Playlist,chinook_1,chinook_manual
show all media types,SELECT * FROM MediaType,chinook_1,chinook_manual
list media type names,SELECT Name FROM MediaType,chinook_1,chinook_manual
show all invoice lines,SELECT * FROM InvoiceLine,chinook_1,chinook_manual
show customer emails,SELECT Email FROM Customer,chinook_1,chinook_manual
show customer countries,SELECT Country FROM Customer,chinook_1,chinook_manual
show track prices,"SELECT Name, UnitPrice FROM Track",chinook_1,chinook_manual
show invoice totals,"SELECT InvoiceId, Total FROM Invoice",chinook_1,chinook_manual
show employee titles,"SELECT FirstName, LastName, Title FROM Employee",chinook_1,chinook_manual
show album and artist id,"SELECT Title, ArtistId FROM Album",chinook_1,chinook_manual
show track composers,"SELECT Name, Composer FROM Track",chinook_1,chinook_manual
show invoice dates,"SELECT InvoiceId, InvoiceDate FROM Invoice",chinook_1,chinook_manual
show customer cities,"SELECT FirstName, LastName, City FROM Customer",chinook_1,chinook_manual
show customers from usa,SELECT * FROM Customer WHERE Country = 'USA',chinook_1,chinook_manual
show customers from germany,SELECT * FROM Customer WHERE Country = 'Germany',chinook_1,chinook_manual
show customers from canada,SELECT * FROM Customer WHERE Country = 'Canada',chinook_1,chinook_manual
show customers from brazil,SELECT * FROM Customer WHERE Country = 'Brazil',chinook_1,chinook_manual
show customers from france,SELECT * FROM Customer WHERE Country = 'France',chinook_1,chinook_manual
show customers from united kingdom,SELECT * FROM Customer WHERE Country = 'United Kingdom',chinook_1,chinook_manual
show customers from australia,SELECT * FROM Customer WHERE Country = 'Australia',chinook_1,chinook_manual
show customers from india,SELECT * FROM Customer WHERE Country = 'India',chinook_1,chinook_manual
show customers from portugal,SELECT * FROM Customer WHERE Country = 'Portugal',chinook_1,chinook_manual
show customers from norway,SELECT * FROM Customer WHERE Country = 'Norway',chinook_1,chinook_manual
list customers in usa,SELECT * FROM Customer WHERE Country = 'USA',chinook_1,chinook_manual
find customers from usa,SELECT * FROM Customer WHERE Country = 'USA',chinook_1,chinook_manual
customers who are from germany,SELECT * FROM Customer WHERE Country = 'Germany',chinook_1,chinook_manual
show customers where country is usa,SELECT * FROM Customer WHERE Country = 'USA',chinook_1,chinook_manual
show invoices with total greater than 10,SELECT * FROM Invoice WHERE Total > 10,chinook_1,chinook_manual
show invoices with total greater than 20,SELECT * FROM Invoice WHERE Total > 20,chinook_1,chinook_manual
show invoices with total greater than 5,SELECT * FROM Invoice WHERE Total > 5,chinook_1,chinook_manual
show invoices with total less than 5,SELECT * FROM Invoice WHERE Total < 5,chinook_1,chinook_manual
show invoices with total less than 2,SELECT * FROM Invoice WHERE Total < 2,chinook_1,chinook_manual
show invoices where total equals 1.98,SELECT * FROM Invoice WHERE Total = 1.98,chinook_1,chinook_manual
show tracks where price is 0.99,SELECT * FROM Track WHERE UnitPrice = 0.99,chinook_1,chinook_manual
show tracks with price less than 1,SELECT * FROM Track WHERE UnitPrice < 1,chinook_1,chinook_manual
show tracks with price greater than 1,SELECT * FROM Track WHERE UnitPrice > 1,chinook_1,chinook_manual
find tracks costing 0.99,SELECT * FROM Track WHERE UnitPrice = 0.99,chinook_1,chinook_manual
