epoch,train_loss,val_loss,train_ppl,val_ppl,train_acc,val_acc,tf_ratio,lr
1,5.0193,4.2292,151.31,68.66,31.03,39.0,0.5,2e-05
2,3.7631,3.8089,43.08,45.1,43.28,43.79,0.48,2e-05
3,3.251,3.5393,25.82,34.44,49.43,47.89,0.46,2e-05
4,2.8908,3.3985,18.01,29.92,53.81,50.14,0.44,2e-05
5,2.595,3.2952,13.4,26.98,57.59,52.1,0.42,2e-05
6,2.3329,3.1648,10.31,23.68,61.22,54.91,0.4,2e-05
7,2.1091,3.0624,8.24,21.38,64.32,56.74,0.38,2e-05
8,1.9217,3.0023,6.83,20.13,66.88,58.29,0.36,2e-05
9,1.7652,2.9614,5.84,19.32,68.92,59.29,0.34,2e-05
10,1.6331,2.9218,5.12,18.57,70.54,60.25,0.32,2e-05
11,1.5136,2.8973,4.54,18.13,72.06,60.61,0.3,2e-05
12,1.4019,2.8519,4.06,17.32,73.51,61.46,0.28,2e-05
13,1.3097,2.8642,3.7,17.53,74.69,61.49,0.26,2e-05
14,1.2202,2.8319,3.39,16.98,75.9,61.91,0.24,2e-05
15,1.1382,2.8021,3.12,16.48,77.09,62.74,0.22,2e-05
16,1.0657,2.7941,2.9,16.35,78.08,62.86,0.2,2e-05
17,0.9979,2.7889,2.71,16.26,79.04,63.41,0.18,2e-05
18,0.9345,2.8099,2.55,16.61,79.94,62.62,0.16,2e-05
19,0.8816,2.762,2.41,15.83,80.71,64.03,0.14,2e-05
20,0.8301,2.7651,2.29,15.88,81.46,64.19,0.12,2e-05
21,0.7817,2.7867,2.19,16.23,82.25,64.12,0.1,2e-05
22,0.7345,2.7648,2.08,15.88,83.08,64.51,0.08,2e-05
23,0.6867,2.7755,1.99,16.05,83.96,64.65,0.08,2e-05
24,0.6486,2.7847,1.91,16.2,84.67,64.73,0.06,2e-05
