epoch,train_loss,val_loss,train_ppl,val_ppl,train_acc,val_acc,tf_ratio,lr
1,2.6167,1.5224,13.69,4.58,62.69,65.3,0.5,1e-05
2,0.6881,0.7946,1.99,2.21,85.59,77.92,0.45,1e-05
3,0.3736,0.446,1.45,1.56,91.48,86.38,0.4,1e-05
4,0.2327,0.3139,1.26,1.37,94.9,92.47,0.35,1e-05
5,0.1751,0.318,1.19,1.37,96.41,91.8,0.3,1e-05
6,0.1073,0.2754,1.11,1.32,97.96,94.71,0.25,1e-05
7,0.0888,0.1792,1.09,1.2,98.44,96.36,0.2,1e-05
8,0.0683,0.0512,1.07,1.05,98.86,98.74,0.15,1e-05
9,0.0508,0.1205,1.05,1.13,99.17,97.75,0.1,1e-05
10,0.0392,0.1219,1.04,1.13,99.39,97.69,0.1,1e-05
11,0.0539,0.013,1.06,1.01,99.11,99.93,0.1,1e-05
12,0.0232,0.1279,1.02,1.14,99.67,97.88,0.1,1e-05
13,0.0109,0.0107,1.01,1.01,99.9,99.8,0.1,1e-05
14,0.0218,0.0076,1.02,1.01,99.76,99.93,0.1,1e-05
15,0.0392,0.0066,1.04,1.01,99.51,100.0,0.1,1e-05
16,0.0112,0.0066,1.01,1.01,99.85,99.93,0.1,1e-05
17,0.006,0.005,1.01,1.01,99.96,100.0,0.1,1e-05
18,0.0252,0.0048,1.03,1.0,99.69,100.0,0.1,1e-05
19,0.0119,0.004,1.01,1.0,99.87,100.0,0.1,1e-05
20,0.0261,0.0038,1.03,1.0,99.71,100.0,0.1,1e-05
